name,designed_by,developer,initial_release,OS,license,paradigm,typing_discipline,written_in
A Sharp (.NET),"Dr. Martin C. Carlisle, Lt Col Ricky Sward, Maj Jeff Humphries",AdaCore,2004,Cross-platform,GNU General Public License,,,
A+,Arthur Whitney,Morgan Stanley,1988,"MacOS, Linux",GNU General Public License,Array,"Dynamic, strong",
ABAP,SAP SE,,1983,Cross-platform,,"Object-oriented, structured, imperative","Static, strong, safe, nominative",
ABC,"Leo Geurts, Lambert Meertens, Steven Pemberton",Centrum Wiskunde & Informatica,1987,"Unix-like, Windows, MacOS, and Atari TOS",,"multi-paradigm: imperative, procedural, structured","strong, polymorphic",
ActionScript,Gary Grossman,Macromedia,1998,,,"Multi-paradigm: object-oriented (prototype-based), functional, imperative, scripting","strong, static",
Ada,"MIL-STD-1815, Ada 83: Jean Ichbiah, Ada 95: Tucker Taft, Ada 2005: Tucker Taft, Ada 2012: Tucker Taft",,1980,Multi- or cross-platform,,"Multi-paradigm: structured, imperative, object-oriented, concurrent, array, distributed, generic, procedural, meta","static, strong, safe, nominative",
AdvPL,TOTVS,,,,,,,
Agda,"Ulf Norell, Catarina Coquand (1.0) ", Catarina Coquand (1.0),2007,Cross-platform,BSD-like,Functional,"strong, static, dependent, nominal, manifest, inferred",
AIMMS,Johannes J. Bisschop  Marcel Roelofs,AIMMS B.V.,,,,,,
Aldor,"Richard Dimick Jenks, Barry Trager, Stephen Watt, James Davenport, Robert Sutor, Scott Morrison",Thomas J. Watson Research Center,1990,"Linux, Solaris, Windows","Aldor Public 2.0, Apache 2.0","Multi-paradigm: object-oriented, functional, imperative, dependent typed, logic",,
Alef,Phil Winterbottom,,1992,Plan 9,,"compiled, concurrent, structured","Static, strong",
ALGOL 58,"Friedrich L. Bauer, Hermann Bottenbruch, Heinz Rutishauser, Klaus Samelson, John Backus, Charles Katz, Alan Perlis, Joseph Henry Wegstein",,1958,,,"procedural, imperative, structured","Static, strong",
ALGOL 60,"Backus, Bauer, Green, Katz, McCarthy, Naur, Perlis, Rutishauser, Samelson, van Wijngaarden, Vauquois, Wegstein, Woodger",,1960,,,"procedural, imperative, structured","Static, strong",
ALGOL 68,"A. van Wijngaarden, B. J. Mailloux, J. E. L. Peck and C. H. A. Koster, et al.",,1968,,,"Multi-paradigm: concurrent, imperative","static, strong, safe, structural",
ALGOL W,"Niklaus Wirth, Tony Hoare",,1966,Linux,,"Multi-paradigm: procedural, imperative, structured","Static, strong",
Alice,Saarland University,,2000,Cross-platform,MIT,"Multi-paradigm: imperative, functional, distributed, concurrent","strong, static, inferred",
Alma-0,"Krzysztof Apt, Marc Bezem, Jacob Brunekree, Vincent Partington, Andrea Schaerf",Centrum Wiskunde & Informatica,1997,,,"multi-paradigm: constraint, imperative, logic",static,
AmbientTalk,"Tom Van Cutsem, Stijn Mostinckx, Jessie Dedecker, Wolfgang De Meuter","Software Languages Lab, University of Brussels",2006,Platform-independent,MIT License,"object-oriented (prototype-based), Concurrent, Event-driven, Reflective","dynamic, strong",
AMPL,Robert FourerDavid GayBrian KernighanBell Labs,"AMPL Optimization, Inc.",1985,"Cross-platform: Linux, MacOS, Solaris, AIX, Windows","Proprietary (translator),free and open-source (AMPL Solver Library)","Multi-paradigm: declarative, imperative",,
Analitik,Victor Glushkov & Co,Poltava National Technical University,1968,,,"A distinctive feature of the language are abstract data types, calculations in arbitrary algebras, and analytic transformations.",,
APL,Kenneth E. Iverson,Larry Breed,1966,,"Proprietary, open source","Array, functional, structured, modular",Dynamic,
APT,Douglas T. Ross,,1956,,,Numerical control,,
Arc,Paul Graham,"Paul Graham, Robert Morris,",2008,Linux,Artistic License 2.0,"Multi-paradigm: functional, meta, procedural",Dynamic,
AutoIt,Jonathan Bennett,AutoIt Consulting Ltd.,1999,"Windows XP SP3, Windows Server 2003",Freeware,"Object-oriented, imperative, functional, procedural, reflective",,
AutoLISP,David Betz,Autodesk,1986,Linux,,,dynamic,
AWK,"Alfred Aho, Peter Weinberger, and Brian Kernighan",,1977,Cross-platform,,"Scripting, procedural, data-driven","none; can handle strings, integers and floating-point numbers; regular expressions",
B,Ken Thompson,Ken Thompson,1969,,,,typeless (everything is a word),
Ballerina,"Sanjiva Weerawarana, James Clark, Sameera Jayasoma, Hasitha Aravinda, Srinath Perera, Frank Leymann and WSO2",WSO2,2017,Cross-platform,Apache License 2.0,,"Structural, strong, static, inferred",
BASIC,"John G. Kemeny, Thomas E. Kurtz, Mary Kenneth Keller",,1964,,,"Non-structured, later procedural, later object-oriented",,
BCPL,Martin Richards,,1967,,,"procedural, imperative, structured",typeless (everything is a word),
BeanShell,JCP,,1999,Cross-platform,2012: Apache-2.0[a]2001: SPL-1.0 or LGPL-2.1-only[b]1999: LGPL-2.1-only[c],"Object-oriented, scripting","Dynamic, strong",
BETA,"Bent Bruun Kristensen, Ole Lehrmann Madsen, Birger Muller-Pedersen, Kristen Nygaard",,,,,Object-oriented,,
BLISS,"W. A. Wulf, D. B. Russell, A. N. Habermann",Carnegie Mellon University,1970,Cross-platform,,"Structured, imperative (procedural)",Typeless,
Boo,Rodrigo B. De Oliveira,Rodrigo B. De Oliveira,2003,,BSD 3-Clause,Object oriented,"static, strong, inferred, duck",
Bosque,Mark Marron,Microsoft,2019,,MIT License,"Multi-paradigm: functional, typed language",,
C,Anders Hejlsberg (Microsoft),Mads Torgersen (,2000,,"Roslyn compiler: MIT/X11, .NET Core CLR: MIT/X11, Mono compiler: dual GPLv3 and MIT/X11, DotGNU: dual GPL and LGPL","Multi-paradigm: structured, imperative, object-oriented, event-driven, task-driven, functional, generic, reflective, concurrent","Static, dynamic, strong, safe, nominative, partially inferred",
C--,Simon Peyton Jones and Norman Ramsey,,1997,,,imperative,"static, weak",
C++,Bjarne Stroustrup,ISO/IEC JTC 1 (Joint Technical Committee 1) / SC 22 (Subcommittee 22),1985,Cross-platform,,"Multi-paradigm: procedural, functional, object-oriented, generic, modular","Static, nominative, partially inferred",
C*,Thinking Machines,Thinking Machines,1987,Connection Machine,,"multi-paradigm: object-oriented, imperative, parallel","static, weak, manifest",
C/AL,Michael Nielsen,Microsoft,,,,Imperative,,
Caml,"G�rard Huet, Guy Cousineau, Asc�nder Su�rez, Pierre Weis, Michel Mauny (Heavy Caml), Xavier Leroy (Caml Light)",,1985,Cross-platform,,"Multi-paradigm: functional, imperative","Inferred, static, strong",
Cecil,Craig Chambers,,1992,,,object-oriented,dynamic (optionally static),
Ceylon,Gavin King,Eclipse Foundation,2011,,Apache License 2.0,Object-oriented,"Static, strong, safe",
Chapel,"David Callahan, Hans Zima, Brad Chamberlain, John Plevyak",Cray Inc.,2009,"MacOS, Linux, POSIX, Windows (with Cygwin)",Apache License 2.0,Object-oriented  Partitioned global address space  Parallel programming,static  inferred,
Charm,P. Nowosad,,1996,RISC OS,,Structured programming,,
CHILL,CCITT,,1980,,,procedural,"static, strong",
ChucK,Ge Wang,,2003,Cross-platform,"Mac, Linux, Windows: GPL-2.0-or-later, iOS: Closed Source (Not Public)",Multi-paradigm,Strong,
Cilk,MIT Laboratory for Computer Science,Intel,1994,,,"imperative (procedural), structured","static, weak, manifest",
Control Language,IBM,IBM,1978,"Control Program Facility, IBM i",Proprietary,imperative,,
Claire,Yves Caseau,,1994,Cross-platform,Permissive free software licence,"multi-paradigm: functional, object-oriented (class-based), rule processing, reflective","strong, both static and dynamic",
Clean,Software Technology Research Group of Radboud University Nijmegen,,1987,Cross-platform,Simplified BSD,functional,"strong, static, dynamic",
Clojure,Rich Hickey,,2007,,Eclipse Public License,"multi-paradigm:
, agent-oriented, concurrent, functional, logic, macro, pipeline","dynamic, strong",
CLU,Barbara Liskov and her students,Massachusetts Institute of Technology,1975,,,"multi-paradigm: object-oriented, procedural",strong,
CMS-2,"RAND, Intermetrics",Computer Sciences Corporation,1968,,,Imperative,,
COBOL,"Howard Bromberg, Norman Discount, Vernon Reeves, Jean E. Sammet, William Selden, Gertrude Tierney, with indirect influence from Grace Hopper",CODASYL,1959,,,"Procedural, imperative, object-oriented","Weak, static",
Cobra,Charles Esterbrook,Cobra Language LLC,2006,"Microsoft .NET, Mono",MIT,Multi-paradigm: object-oriented,"strong, static, dynamic, inferred",
CoffeeScript,Jeremy Ashkenas,Jeremy Ashkenas,2009,Cross-platform,MIT License,"Multi-paradigm: prototype-based, functional, imperative, scripting","dynamic, implicit",
COMAL,"B�rge R. Christensen, Benedict L�fstedt",,1975,,,Structured,Strong,
COMIT,Victor Yngve,,1957,,,,,
Common Lisp,"Scott Fahlman, Richard P. Gabriel, David A. Moon, Kent Pitman, Guy Steele, Dan Weinreb",ANSI ,1984,Cross-platform,,"Multi-paradigm: procedural, functional, object-oriented, meta, reflective, generic","Dynamic, strong",
Constraint Handling Rules,Thom Fr�hwirth,,1991,,,"Constraint logic, declarative",,
Cool,Alexander Aiken,Alexander Aiken,1996,,,Object-oriented,"Static, strong, manifest",
CORAL,"Philip Woodward, I. F. Currie, M. Griffiths",Royal Radar Establishment,1964,"OpenVMS, BSD Unix, Linux, Solaris",,"procedural, imperative, structured","Static, strong",
CPL,Christopher Strachey et al.,,1963,,,"Multi-paradigm:
procedural, imperative, structured, functional",,
Crystal,"Ary Borenszweig, Juan Wajnerman, Brian Cardiff",Manas Technology Solutions,2014,"Linux, MacOS, FreeBSD, OpenBSD",Apache License 2.0,"Multi-paradigm: object-oriented, concurrent","static, inferred, nominal, duck",
Cuneiform,J�rgen Brandt,,2013,"Linux, MacOS",Apache License 2.0,"functional, scientific workflow","static, simple types",
Curl,"Steve Ward, MIT","Curl, Inc., Sumisho Computer Systems Corp., SCSK Corporation",1998,"Linux, MacOS, Windows",,"multi-paradigm: object-oriented, markup",strong,
Curry,"Michael Hanus, Sergio Antoy, et al.",,,portable,,"functional, logic, non-strict, modular","static, strong, inferred",
Cyclone,AT&T Labs,,2002,,,,,
CEEMAC,Brooke Boering,Vagabondo Enterprises,,,,Visual composition language,,
D,"Walter Bright, Andrei Alexandrescu (since 2007)",D Language Foundation,2001,"FreeBSD, Linux, MacOS, Windows",Boost,"Multi-paradigm: functional, imperative, object-oriented","Inferred, static, strong",
Dart,Lars Bak and Kasper Lund,Google,2011,Cross-platform,BSD,"Multi-paradigm: functional, imperative, object-oriented, reflective","1.x: Optional2.x: Inferred (static, strong)",
Darwin,Gaston Gonnet,,1991,,,"imperative, structured, object-oriented","Dynamic, Strong",
DIGITAL Command Language,Digital Equipment Corporation,VMS Software Inc. (VSI),,"RSTS/E, RSX-11, RT-11, OpenVMS, VAXELN, MICA",,imperative,,
Draco,Chris Gray,,1980,"CP/M, Amiga",copyrighted shareware,"imperative (procedural), structured","static, strong, manifest",
E,Mark S. Miller,,1997,Cross-platform,Portions in different free licenses,"Multi-paradigm: object-oriented, message passing","Strong, dynamic",
Ease,Steven Ericsson-Zenith,,1991,,,"Concurrent, communicating sequential processes",Strong,
PL/I,IBM and the SHARE Language Development Committee,IBM,1964,,,"Procedural, imperative, structured",,
eC,J�r�me Jacovella-St-Louis,,2004,Cross-platform,BSD-3,"Multi-paradigm: procedural, object-oriented, generic","Static, nominative, partially inferred",
ECMAScript,"Brendan Eich, Ecma International",,1997,,,"Multi-paradigm: prototype-based, functional, imperative","weak, dynamic",
Edinburgh IMP,"Bratley, Whitfield, M. M. Barritt, David Rees, Peter D. Schofield, Roderick McLeod, Hamish Dewar, Peter D. Stephens, Peter Robertson",University of Edinburgh,1966,"BOS/360, DOS, Windows, Linux",,"Procedural, imperative, structured","Static, strong",
Eiffel,Bertrand Meyer,Eiffel Software,1986,"FreeBSD, Linux, MacOS X, OpenBSD, Solaris, Windows",dual and enterprise,"Object-oriented, Class-based, Generic, Concurrent",static,
ELAN,"C.H.A. Koster, et al.",Technical University of Berlin,1974,EUMEL,,"procedural, structured","static, strong",
Elm,Evan Czaplicki,,2012,,Permissive (Revised BSD),Functional,"Static, Strong, Inferred",
Emacs Lisp,"Richard Stallman,Guy L. Steele, Jr.",GNU Project,1985,Cross-platform,GPLv3,"Functional, meta, reflective","Dynamic, strong",
Emerald,"Andrew P. Black, Norman C. Hutchinson, Eric B. Jul, Henry M. Levy",,1980,,,object-oriented,"strong, static",
Epigram,Conor McBrideJames McKinna,Unmaintained,2004,"Cross-platform: Linux, Windows, MacOS",MIT,Functional,"strong, static, dependent",
Easy Programming Language,The Easy Programming Language Company,,2004,Cross-platform,Proprietary software,"Multi-paradigm: compiled, imperative, procedural, object-oriented, functional",,
Erlang,Joe ArmstrongRobert VirdingMike Williams,Ericsson,1986,,Apache License 2.0,"Multi-paradigm: concurrent, functional","Dynamic, strong",
rc,Tom Duff,Bell Labs,1989,Cross-platform,,"imperative, pipeline",weak,
Escher,J.W. Lloyd,,1990,,,"declarative: functional, logic","static, manifest",
Etoys,Alan Kay,"Scott Wallace, ",1996,,MIT and Apache 2.0 licenses,"object-oriented prototype-based, educational",dynamic,
Euclid,"Butler Lampson, Xerox PARC",Ric Holt,1970,,,"multi-paradigm: structured, imperative, functional","strong, static",
Euler,Niklaus WirthHelmut Weber,Stanford University,1965,,,"Multi-paradigm: procedural, imperative, structured",dynamic,
Euphoria,"Jeremy Cowgar, Robert Craig (original), Matt Lewis, Derek Parnell",openEuphoria Group,1993,"Cross-platform: Win32, Linux, MacOS, FreeBSD, NetBSD, OpenBSD",BSD,"Imperative, procedural","static, dynamic",
Ezhil,Muthu Annamalai,Independent/Freelance,2007,"Linux, Windows, MacOS using Python's pip",GPLv3,"interpreted, imperative, structured","strong, dynamic",
F,"Don Syme, Microsoft Research",Microsoft,2005,".NET, .NET Framework, Mono",MIT License,"Multi-paradigm: functional, imperative, object-oriented, metaprogramming, reflective, concurrent","Static, strong, inferred",
F*,Microsoft Research and Inria,,,"Linux, MacOS, Windows",Apache License 2.0,"Multi-paradigm: functional, imperative","Dependent, inferred, static, strong",
FP,John Backus,,1977,,,Function-level,,
Fj�lnir,Snorri Agnarsson,,1980,MS-DOS,,"procedural, object-oriented","strong, dynamic",
FL,John BackusJohn WilliamsEdward Wimmers,,1989,,,"Function-level, functional",Dynamic,
FLOW-MATIC,"Remington Rand, Grace Hopper",,1955,,,imperative,,
FOCAL,Richard Merrill,DEC,1968,,,imperative,,
Forth,Charles H. Moore,,1970,,,"Procedural, stack-oriented, reflective, concatenative",Typeless,
Fortran,John Backus,John Backus,1957,,,"Multi-paradigm: structured, imperative (procedural, object-oriented), generic, array","strong, static, manifest",
Franz Lisp,"Richard Fateman, John Foderaro, Kevin Layer, Keith Sklower","University of California, Berkeley",1980,"VMS, Unix, Eunice, SunOS","Proprietary, freeware","Multi-paradigm: functional, procedural, reflective, meta","Dynamic, strong",
Futhark,"Troels Henriksen, Cosmin Oancea, Martin Elsman",,2014,Cross-platform,ISC,"Array, functional","static, strong",
F-Script,Philippe Mougin,"Jonathan Mitchell, Ilya Kulakov, others",2009,MacOS,Open-source,"multi-paradigm: object-oriented, array",dynamic,
G-code,Massachusetts Institute of Technology,,1950,,,"Procedural, Imperative",,
Genie,Jamie McCracken,,2008,Cross-platform,LGPLv2.1+,"multi-paradigm: imperative, structured, object-oriented","static, strong",
GNU Guile,"Aubrey Jaffer, Tom Lord, Miles Bader",GNU Project,1993,"Linux, BSD, Windows (through MinGW or Cygwin)",LGPL-3.0-or-later,,,
Go,Robert GriesemerRob PikeKen Thompson,The Go Authors,2009,"DragonFly BSD, FreeBSD, Linux, MacOS, NetBSD, OpenBSD, Plan 9, Solaris, Windows",3-clause BSD + patent grant,"Multi-paradigm: concurrent imperative, object-oriented","Inferred, static, strong, structural, nominal",
Go!,"Francis McCabe, Keith Clark",,2003,Unix-like,GPLv2,"Multi-paradigm: concurrent, logic, functional, imperative (object-based)",strong,
Game Oriented Assembly Lisp,Andy Gavin,Naughty Dog,2001,,Proprietary,Multi-paradigm,"Dynamic, latent, strong",
G�del,John Lloyd & Patricia Hill,John Lloyd & Patricia Hill,1992,Unix-like,Non-commercial research/educational use only,"declarative, logic",strong,
Grasshopper 3D,David Rutten,Robert McNeel and associates,2007,"Windows 2000 and later, MacOS",Proprietary,visual programming,,
Apache Groovy,James Strachan,Guillaume Laforge (PMC Chair),2003,,Apache License 2.0,"Object-oriented, imperative, scripting","Dynamic, static, strong, duck",
Hack,"Julien Verlaguet, Alok Menghrajani, Drew Paroski, and others",Facebook,2014,Cross-platform,MIT License,,"Static, dynamic, weak, gradual",
Halide,Jonathan Ragan-Kelley and Andrew Adams,MIT,2012,"MacOS, mainstream Linux distributions, Windows",,"functional, parallel",static,
Harbour,Antonio Linares,Viktor Szak�ts and community,1999,Cross-platform,Open-source GPL-compatible,"multi-paradigm: imperative, functional, object-oriented, reflective","Optionally duck, dynamic, safe, partially strong",
CMS Pipelines,John P. Hartmann (IBM),IBM,1986,z/VM 7.1,,Dataflow programming,,
Haskell,"Lennart Augustsson, Dave Barton, Brian Boutel, Warren Burton, Joseph Fasel, Kevin Hammond, Ralf Hinze, Paul Hudak, John Hughes, Thomas Johnsson, Mark Jones, Simon Peyton Jones, John Launchbury, Erik Meijer, John Peterson, Alastair Reid, Colin Runciman, Philip Wadler",,1990,Cross-platform,,Purely functional,"Inferred, static, strong",
Hop (software),Manuel Serrano,,2006,,GPL 2+,multi-paradigm,"strong, dynamic",
HyperTalk,Dan Winkler,Apple Computer Inc.,1987,,,"procedural, event-driven",,
Io,Steve Dekorte,"Steve Dekorte, Jonathan Wright, Jeremy Tregunna",2002,,,object-oriented prototype-based,"dynamic, strong",
Icon,Ralph Griswold,,1977,,,"multi-paradigm: structured, text-oriented",dynamic,
IDL,David Stern,David Stern & ,1977,,,vector-oriented programming,Dynamic,
Idris,Edwin Brady,,2007,Cross-platform,BSD,Functional,,
ISLISP,Many,Many,,"Windows, MacOS, Linux, BSD, AIX, Solaris, Android, QNX",,"Multi-paradigm: functional, procedural, object-oriented, reflective, meta",,
J,"Kenneth E. Iverson, Roger Hui",JSoftware,1990,"Cross-platform: Windows, Linux, MacOS, Android, iOS, Raspberry Pi",GPLv3,,dynamic,
Janus,"Christopher Lutz, Howard Derby, Tetsuo Yokoyama, and Robert Gl�ck",,1982,,,"imperative(procedural), reversible",,
