name,designed_by,developer,initial_release,OS,license,paradigm,typing_discipline,written_in
StarLogo,"Mitchel Resnick, Eric Klopfer, Daniel Wendel",MIT,2001,"Windows, MacOS",Various,"Multi-paradigm: educational, procedural, agent-based, simulation","duck, dynamic, strong",
Superplan,Heinz Rutishauser,,1951,,,,,
Swift,"Chris Lattner, Doug Gregor, John McCall, Ted Kremenek, Joe Groff, and Apple Inc.",Apple Inc.,2014,"Darwin, iOS, iPadOS, MacOS, tvOS, watchOS, Linux, Windows 10, Android",Apache License 2.0 (Swift 2.2 and later)Proprietary (up to Swift 2.2),"Multi-paradigm: protocol-oriented, object-oriented, functional, imperative, block structured, declarative, concurrent","Static, strong, inferred",
T,Jonathan A. ReesNorman I. Adams,Jonathan A. Rees,1982,Cross-platform,,"Multi-paradigm: object-oriented, imperative, functional, meta","dynamic, strong",
TADS,Michael J. Roberts,Michael J. Roberts,1988,"Amiga, BeOS, DOS, Microsoft Windows, Linux, MacOS X",TADS 2 Freeware source code[clarification needed],"prototype-based, domain-specific","Strong typing, type inference",
Tcl,John Ousterhout,Tcl Core Team,1988,,BSD-style,"Multi-paradigm: event-driven, functional, imperative, object-oriented","Dynamic typing, everything can be treated as a string",
TMG (language),Robert M. McClureTMG program with highlighted syntax,Robert M. McClure,1963,,,,,
TRAC,Calvin Mooers,,1964,,,general-purpose macro processor,,
TTM,Steven M. Caine and E. Kent Gordon,,1968,,MIT,general-purpose macro processor,,
Turing,Ric Holt and James CordyDeveloperRic Holt and James CordyDeveloperRic Holt,Holt Software Associates,1982,"Microsoft Windows, Concurrent Euclid",,"multi-paradigm: object-oriented, proceduralDesigned�byRic Holt and James CordyDesigned�byRic Holt",static,
TUTOR,Paul Tenczar & Richard Blomme,Paul Tenczar & ,1969,,,imperative (procedural),,
TXL,Charles Halpern-Hamu  James Cordy,James Cordy,,,,Pattern-matching and Term-rewriting,,
TypeScript,Microsoft,Microsoft,2012,,Apache License 2.0,"Multi-paradigm: functional, generic, imperative, object-oriented","Duck, gradual, structural",
Umple,University of Ottawa,"Cruise Group in the Department of Electrical Engineering and Computer Science, Led by ",2008,,MIT License,object-oriented,static,
Unicon,Clint Jeffery,,,"Windows, Unix",GNU General Public License,"object-oriented, procedural",,
WebAssembly,W3C,W3C,2017,Platform independent,Apache License 2.0,structured stack machine,,
Whiley,David J. Pearce,,2010,,BSD,"Imperative, Functional","Strong, safe, structural, flow-sensitive",
Wolfram Language,Stephen Wolfram,Wolfram Research,1988,Cross-platform,Proprietary,"Multi-paradigm: term-rewriting, functional, procedural, array","Dynamic, strong",
X10,"Kemal Ebcio?lu, Vijay Saraswat, and Vivek Sarkar",IBM,2004,"IBM AIX, Linux, MacOS X, Windows",Eclipse Public License 1.0,Object-oriented,"Static, strong, safe, constrained",
XL,Christophe de Dinechin,Christophe de Dinechin,2000,,,"Multi-paradigm: concept-oriented, imperative, functional",,
XOTcl,Gustaf Neumann and Uwe Zdun,,2000,,,"multi-paradigm: object-oriented, functional, Imperative, event-driven programming","dynamic typing, everything can be treated as a string",
XQuery,W3C,,2007,Cross-platform,,"declarative, functional, modular","dynamic or static, strong",
XSB,"David S. Warren, Terrance Swift, Kostis Sagonas",XSB Research Group,,Cross-platform,,Logic Programming,,
Xtend,"Sven Efftinge, Sebastian Zarnekow",typefox,2011,Cross-platform,Eclipse Public License,"Object-oriented, imperative, functional","Static, strong, inferred",
Yorick,David H. Munro,,1996,"Unix-like, Microsoft Windows",BSD,,,
Yoix,Rich Drechsler and John Mocenigo,,2000,Cross-platform,Open Source Initiative Common Public License,"Multi-paradigm, Object-based, procedural","Dynamic, Weak",
Lisp Machine Lisp,"David A. Moon,Richard Stallman,Daniel Weinreb",MIT,1976,Genera,,,,
Zig,Andrew Kelley,,2016,Cross-platform,MIT License,"Multi-paradigm: imperative, concurrent, procedural, functional","Static, strong, inferred, structural, generic",
Rational Synergy,,Rational Software,1990,,IBM EULA,,,"ACcent, Java"
Action!,,Optimized Systems Software,1983,,,,,
Keysight VEE,,Keysight Technologies,,,Proprietary commercial software,,,
AMOS,,Fran�ois Lionet,1990,,BSD style license,"Imperative, Procedural",Static,
AngelScript,,Andreas J�nsson,2003,Cross-platform,zlib License,"Multi-paradigm: scripting, imperative (procedural, object-oriented)","static, strong",
Apache Pig,,Apache Software Foundation,2008,,Apache License 2.0,,,
App Inventor for Android,,Google,2010,,"Creative Commons Attribution ShareAlike 3.0 Unported, Apache 2.0",,,"Java, Kawa, Scheme"
AppleScript,,Apple Inc.,1993,MacOS,Proprietary (parts available under APSL),"Natural language programming, Scripting","Weak, dynamic",
AutoHotkey,,"Chris Mallett, Steve Gray",2003,,GPL,,,
Axum,,Microsoft,2009,Windows,Closed source,,,
Bash (Unix shell),,Chet Ramey,1989,,Since 4.0: GPL-3.0-or-later1.11? to 3.2: GPL-2.0-or-later0.99? to 1.05?: GPL-1.0-or-later,,,C
bc,,Robert Morris,1975,,,,,
Blockly,,Google,2012,,Apache License 2.0,,,JavaScript
Boomerang,,"Nate Foster, Benjamin C. Pierce, and Michael Greenberg88",2008,"Linux, MacOS X",,,,
Cg,,"nVIDIA, Microsoft",,,,,,
Ch (computer programming),,"SoftIntegration, Inc.",2001,,Proprietary softwareStandard edition: freewareStudent edition: freeware for studentsProfessional edition: trialware for 30 days,,,C
Clarion,,"Jensen & Partners International (JPI), Clarion International, SoftVelocity",1986,"DOS, Windows",Proprietary,"Imperative, structured, object-oriented",,
Adobe ColdFusion,,Adobe Systems,1995,,Proprietary,,,Java
Component Pascal,,Oberon microsystems,1997,,,"Imperative, structured, modular, object-oriented","Strong, static",
COMTRAN,,Bob Bemer,1957,,,,,
Coq,,The Coq development team,1989,,LGPLv2.1,,,OCaml
CorVision,,Cortex,1986,,,,,
COWSEL,,Burstall,1964,,,,,
Cython,,"Robert Bradshaw, Stefan Behnel, et al.",2007,"Windows, MacOS, Linux",Apache License 2.0,,,
DataFlex,,Data Access Worldwide,,,Commercial proprietary software,,,
DATATRIEVE,,VMS Software Inc. (originally ,,,,,,
dBase,,Cecil Wayne Ratliff,1979,"Microsoft DOS, Windows",Proprietary,"Imperative, declarative",,
dc (computer program),,Various ,,,,,,B
Delphi,,Embarcadero Technologies,,"Windows, MacOS X, iOS, Android, Linux, .NET.",Private,,,Mostly Delphi (Object Pascal)
DIBOL,,DEC,1970,,,"procedural, imperative, structured",static,
Dylan,,Open Source Community,1992,"ALGOL, Scheme, EuLisp",,"multi-paradigm: functional, object-oriented","Strong, gradual",
Easytrieve,,Broadcom Inc,,,,,,
EGL,,IBM,,,Eclipse Public License,,,
Executive Systems Problem Oriented Language,,Burroughs Corporation,1966,Burroughs MCP,,"Multi-paradigm: procedural, imperative, structured","Static, strong",
Factor,,Slava Pestov,2003,"Windows, MacOS, Linux",BSD license,"multi-paradigm: functional, concatenative, stack-oriented, object-oriented","strong, dynamic",
Fantom,,"Brian Frank, Andy Frank",2005,,Academic Free License version 3.0,multi-paradigm,"static, dynamic",
FAUST,,"GRAME, Centre National de Cr�ation Musicale",2002,,GPL,,,C++
fish (Unix shell),,Fish-shell developers,2005,,GPL-2.0-only,,,C++
Flix,,Aarhus University,,,Apache License 2.0.,"Multi-paradigm: functional, imperative, logic","inferred, static, strong, structural",
Fortress,,Sun Labs,2006,Cross-platform,BSD,,Static,
GameMaker,,YoYo Games,1999,,Proprietary,,,C++ (runtime)C# (IDE)
General Algebraic Modeling System,,GAMS Development Corporation,,,Proprietary,,,
GAP (computer algebra system),,University of St Andrews,,,GNU General Public License,,,C
Golo,,INSA Lyon,2012,Cross-platform,Eclipse Public 2.0,,"Dynamic, weak",
MAD,,"Galler, Arden, and Graham",1959,"UMES, MTS, CTSS, others",,Imperative,,
Google Apps Script,,Google,2009,,,,,JavaScript
Gosu,,Guidewire and open source contributors,,JVM,Apache License 2.0,,static,
Haxe,,Haxe Foundation,2005,"Android, iOS; Linux, MacOS, Windows","GPL 2.0, library: MIT",Multi-paradigm,"Static, dynamic, nominal",
High Level Assembly,,Randall Hyde,,,Public domain,,,Assembly language
Hollywood,,Andreas Falkenhahn,2002,,,,,
TempleOS,,Terry A. Davis,2005,,Public domain,,,HolyC and x86 Assembly
IBM RPG,,IBM,1959,"CPF, SSP, OS/400, IBM i, OS/VS1, z/OS, DOS/VSE, VSE/SP, VSE/ESA, z/VSE, VS/9, PRIMOS, OpenVMS, Wang VS, Burroughs MCP, HP MPE, MS-DOS, OS/2, Microsoft Windows",,Multi-paradigm,"Strong, static",
Inform,,Graham Nelson,1993,,"Artistic 2.0OSMicrosoft Windows, MacOS X, Linux, othersOSMicrosoft Windows, MacOS X, Linux, others","object-oriented, procedural",,
Visual J Sharp,,Microsoft,2002,,,"Object-oriented, structured, imperative",,
JavaFX Script,,Sun Microsystems,,Cross-platform,GPL,,,
Jess,,Sandia National Laboratories,,,Closed source / Public Domain,,,
JScript,,Microsoft,1996,Windows,,,"Dynamic, weak, duck",
JScript .NET,,Microsoft Corporation,,,,multi-paradigm,"duck, weak, dynamic",
KiXtart,,Ruud van Velsen,1991,,Closed source Careware,,,
KRL,,Daniel G. Bobrow and Terry Winograd,1976,,,knowledge representation,,
Kivy (framework),,Kivy organization,2011,,MIT License,,,"Python, Cython"
LabVIEW,,National Instruments,1986,,Proprietary,,,"C, C++"
Lean (proof assistant),,Microsoft Research,2013,,Apache License 2.0,,,C++
LilyPond,,"David Kastrup, Werner Lemberg, Han-Wen Nienhuys, Jan Nieuwenhuizen, Carl Sorensen, Janek Warcho?, ",1996,,GPL-3.0-or-later,,,"C++, Scheme, Metafont, PostScript, Python"
Lite-C,,"Atari, Inc",2007,Windows,free,,,
Ethereum,,"Ethereum Foundation, Hyperledger, Nethermind, OpenEthereum, EthereumJS",2015,,Open-source licenses,,,"Go, Rust, C#, C++, Java, Python"
LPMud,,Yucong Sun,,,,,,C++
Second Life,,Linden Lab,2003,,Open-source,,,
LiveCode,,LiveCode,2001,,"GPL, ProprietaryHyperTalk",,,
Power Pivot,,Microsoft,,,Microsoft EULA,,,
Magma (computer algebra system),,"Computational Algebra Group, ",,,Cost recovery (non-commercial proprietary),,,
Maple (software),,Waterloo Maple,1982,,Proprietary commercial software,,,"C, Java, Maple"
Mary,,RUNIT,1971,"Cross-platform: Kongsberg V�penfabrikk SM-4, Norsk Data Nord-10/ND-100, Univac-1100 series, ND-100/Sintran-III, i386, SPARC",,imperative,"static, strong",
Microsoft Macro Assembler,,Microsoft,1981,,Commercial proprietary software,,,
Maxima (software),,Macsyma group at ,1982,,GPL,,,Common Lisp
Max (software),,Cycling '74,,,Proprietary,,,"C, C++ (on JUCE platform)"
Autodesk 3ds Max,,Autodesk,1996,,"Software as a service, Trialware",,,"C, C++, and Python"
MIVA Script,,Miva Merchant,1996,Cross-platform,Empresa,imperative,Dynamic,
Modelica,,Modelica Association Project (MAP),1997,Cross-platform,CC-BY-SA,Declarative language,,
MuPAD,,The Mathworks Inc.,,,Proprietary,,,
Netwide Assembler,,H. Peter Anvin,1996,,BSD 2-clause,,,"Assembly, C"
NekoVM,,Haxe Foundation,2005,"MITOS, Windows, MacOS, Linux",,,Dynamic,
NESL,,SCandAL project,1993,,permissive license similar to the ISC and X11 licenses,"parallel, functional, array",,
NEWP,,Burroughs Corporation,,Unisys MCP,,"Multi-paradigm: procedural, imperative, structured","Static, strong",
Nord Programming Language,,Norsk Data,1974,Sintran III,Proprietary,"Procedural, imperative","Static, strong",
Nullsoft Scriptable Install System,,NSIS Team and NSIS Community,2000,,zlib License,,,"C, C++"
GNU Octave,,John W. Eaton and many others,1993,,"2007: GPL-3.0-or-later, 1992: GPL-2.0-or-later",,,"C++ (main), Octave itself (scripts), C (wrapper code), Fortran (linear algebra wrapper code)"
Opa,,MLstate,2011,"Linux, OS X, Windows","MIT License, AGPLv3","multi-paradigm: functional, imperative","static, strong, inferred",
OpenCL,,Khronos Group,2009,,OpenCL specification,"Imperative (procedural), structured, (C++ only) object-oriented, generic programming",,C with C++ bindingsFilename extensions.cl .clcpp
OpenEdge Advanced Business Language,,Progress Software Corporation,,,Proprietary,,,
ORCA/Modula-2,,The Byte Works,1994,,,,,Modula-2
Oxygene,,RemObjects Software,2005,,Trialware,,,
P,,"Ankush Desai, Vivek Gupta: not the politician, ",2012,Cross-platform,MIT License,,,
P4,,The P4 Language Consortium,2013,,Apache-style,"compiled, domain-specific, imperative",,
PARI/GP,,Henri Cohen,,,GNU General Public License,,,C
Pascal Script,,Carlo Kok,2000,"Linux, MacOS, Windows",Open-source license,"Procedural, object-oriented, scripting",Strong,
PeopleCode,,Oracle Corporation,,,,"multi-paradigm: object-oriented, imperative",,
Perl Data Language,,Karl Glazebrook,1996,Cross-platform,"GNU General Public License, Artistic License",Array,,
Pharo,,Pharo community,2008,"Windows, Linux, MacOS, others","MIT license, partly Apache License 2.0",Object-oriented,Dynamic,
Pico,,Vrije Universiteit Brussel,1997,,,"Reflective, procedural",,
Pict,,Benjamin C. Pierce,,,GNU General Public License,Concurrent,Static,
PL/C,,Cornell University,1973,,,"procedural, imperative, structured",strong,
PL/M,,Gary Kildall,1973,,,,,
PLANC,,Norsk Data,,Sintran III,Proprietary,"Procedural, imperative, structured","Static, strong",
PLEX,,G�ran Hemdahl,1970,Ericsson APZ,Proprietary,"procedural, imperative, concurrent",,
Plus,,Alan Ballard and Paul Whaley at ,1976,"Michigan Terminal System (MTS), OS/VS1",,"imperative, structured","static, strong, safe",
POV-Ray,,The POV-Team,1991,,AGPL-3.0-or-later,,,C++
PowerHouse,,"UNICOM Systems, a division of ",,,Proprietary,,,
PowerBuilder,,SAP,1992,,Commercial,,,C++ and C#
PROMAL,,Systems Management Associates,1984,,,"Imperative (procedural), structured",,
.QL,,Semmle,2007,,,"multi-paradigm, logic-paradigm, object-oriented-paradigm","static, strong",
Ratfor,,Brian Kernighan,1976,,,,,
S,,"Rick Becker, Allan Wilks, ",1976,Linux,depends on implementation,"multi-paradigm: imperative, object oriented","dynamic, strong",
S2,,Brad Fitzpatrick,1999,,,Object-oriented,,
S3,,International Computers Limited,,,,"Structured, imperative",,
S-Lang,,John E. Davis,,,GPL-2.0-or-later,,,S-Lang scripting language
S-PLUS,,TIBCO Software Inc.,,,Proprietary,,,
SAS (software),,SAS Institute,1972,,Proprietary,,,C
Sawzall,,Google,2003,,Apache License 2.0,,,
Scilab,,ESI Group,,,"GPLv2, previously CeCILL",,,"Scilab, C, C++, Java, Fortran"
Script.NET,,Microsoft,,,Free,"imperative, meta, scripting",dynamic,
Short Code (computer language),,"William F Schmitt, A.�B. Tonik, J.�R. Logan",1950,,,,,
Superbase (database),,Superbase Software Ltd,1983,,,,,
Simulink,,MathWorks,,,Proprietary,,,
Cadence SKILL,,Cadence Design Systems,1990,,,"functional, Object-oriented",dynamic,
SPARK,,Altran,,"Cross-platform: Linux, Microsoft Windows, MacOS X",GPLv3,Multi-paradigm,"static, strong, safe, nominative",
Speakeasy (computational environment),,Speakeasy Computing Corporation,,,Trialware MATLAB,imperative,,"Mortran, FORTRAN, C"
Stata,,StataCorp,1985,,Proprietary,,,C
Stateflow,,MathWorks,,,Proprietary,,,
Swift (parallel scripting language),,University of Chicago,2007,Cross-platform: Java,Apache 2.0,"Dataflow, distributed, grid, concurrent, scientific workflow, scripting",Strong,
Tea,,Jorge Nunes,1997,,,"Multi-paradigm: Functional, Object-oriented (class-based)",,
TELCOMP,,BBN,1965,,,,,
TeX,,Donald Knuth,1978,,Permissive free software,,,WEB/Pascal
Tom (pattern matching language),,INRIA,,,"GPL, BSD licenses",,,
Tynker,,Tynker,,,,,,
UCSD Pascal,,"University of California, San Diego",1977,p-code operating systems,,,,
Uniface,,Uniface,,,Commercial,,,
Unreal Engine,,Epic Games,,Cross-platform,"Source-available commercial software with royalty model for commercial useC++, Java","Object-oriented, generic",,C++Influenced by
Vala,,"J�rg Billeter, Raffaele Sandrini",2006,Cross-platform,LGPLv2.1+,"Multi-paradigm: imperative, structured, object-oriented","Static, strong, inferred, structural",
Visual FoxPro,,Microsoft,,,Commercial proprietary software,,,
Visual Prolog,,PDC A/S,,Microsoft,Proprietary,"multi-paradigm: logical, functional, object-oriented, imperative","static, strong, inferred",
Microsoft Dynamics AX,,Microsoft,,,Shareware,,,
Xojo,,"Xojo, Inc.",,,Demoware,,,
XOD,,XOD Inc,2016,,GNU Affero General Public License 3.0,"Declarative, dataflow, functional reactive, visual",,
XSLT,,World Wide Web Consortium,1998,,,Declarative,,
Z shell,,"Peter Stephenson, et al.",1990,,MIT-Modern-Variant,,,C
Zebra Programming Language,,Zebra Technologies,,,,,,
ZPL,,Chamberlain ,1993,,,Array,,
Assembly language,,,1949,,,"Imperative, unstructured",,
Babbage,,,1971,"COS, GEC DOS, OS4000",,"procedural, structured, High-level assembler",,
Cach� ObjectScript,,,1997,Cross-platform,,,,
C shell,,,1978,,BSD license,,,C
CFEngine,,,1993,"MacOS, Windows, Linux, iOS",GNU General Public License version 3,,,
Clipper,,,1985,MS-DOS,,,,
CLIPS,,,1985,,,expert systems,,
Csound,,,1986,,LGPL-2.1-or-later,,,C
Datalog,,,1986,,,"Logic, Declarative",Weak,
DRAKON,,,1996,,,Visual,,
Elixir,,,2012,,Apache License 2.0,"multi-paradigm: functional,  concurrent, distributed, process-oriented","dynamic, strong, duck",
Godot (game engine),,,2014,,MIT License,Object-oriented,,C++
GNU E,,,1991,Cross-platform,GNU General Public License Version 2,object-oriented,strong,
Hamilton C shell,,,1988,,Commercial proprietary software,,,C
IBM Informix-4GL,,,1986,,,,,
Jython,,,2001,,Python Software Foundation License (for older releases see License terms),,,Python and Java
KornShell,,,1983,,"AT&T KornShell: Eclipse Public License, pdksh: Public domain with some ISC-like code, mksh: MirOS Licence, dtksh: Eclipse Public License with some LGPL",,,C
Kodu Game Lab,,,2009,,,,,C#
Language H,,,1962,,,procedural,,
Nix (package manager),,,2003,,LGPL,,,C++
Programming Language for Business,,,1972,,,"Procedural, imperative","Strong, static",
Scratch,,,2003,"Microsoft Windows, MacOS, Linux, HTML5, iOS, iPadOS, Android.",GPLv2 and Scratch Source Code License,"Event-driven, block-based programming language",,
Standard ML,,,1983,,,"Multi-paradigm: functional, imperative, modular","Inferred, static, strong",
Source,,,2017,Browser-based,Apache,"Multi-paradigm: scripting, imperative, procedural,   functional","Dynamic, duck",
SuperCollider,,,1996,,GPL-3.0-or-later,,,C++
TECO (text editor),,,1962,,,,,
Vim (text editor),,,1991,,Vim,,,"C, Vim, Microsoft Windows, Unix-like"
Mystic BBS,,,,,Proprietary freeware,,,FreePascal
Net.Data,,,,"IBM i, z/OS, Microsoft Windows, Unix",,,,
Pure Data,,,,,BSD-3-ClauseWebsitepuredata.info,Dataflow,,
Algebraic,,,,,,"multi-paradigm: logic, functional",,
Pizza,,,,,,"generics, algebraic types",,
